NOME;CODICE_REGIONE;REGIONE;COD_RETE;NOME_RETE;ID_STAZ;LAT;LON;QUOTA
Aprica;03;LOMBARDIA;5;UCEA-UCST;776;46.15;10.13333;1181
S.Angelo Lodigiano;03;LOMBARDIA;5;UCEA-UCST;788;45.23333;9.4;82
Monzambano;03;LOMBARDIA;5;UCEA-UCST;790;45.38333;10.68333;132
Como;03;LOMBARDIA;6;UCEA-UCOS;950;45.8;9.083333;200
Cremona;03;LOMBARDIA;6;UCEA-UCOS;951;45.133333;10.016666;50
Pavia;03;LOMBARDIA;6;UCEA-UCOS;953;45.183333;9.166666;75
Voghera;03;LOMBARDIA;6;UCEA-UCOS;956;44.983333;8.966666;108
Monzambano;03;LOMBARDIA;7;REGIONI - ex SIMN;1597;45.433333;10.702778;90
Edolo;03;LOMBARDIA;7;REGIONI - ex SIMN;1620;46.183333;10.336111;690
Sarnico;03;LOMBARDIA;7;REGIONI - ex SIMN;1659;45.666667;9.952778;197
Chiari;03;LOMBARDIA;7;REGIONI - ex SIMN;1667;45.533333;9.936111;148
Bovegno;03;LOMBARDIA;7;REGIONI - ex SIMN;1676;45.783333;10.269444;750
Brescia;03;LOMBARDIA;7;REGIONI - ex SIMN;1681;45.533333;10.219444;120
Caino;03;LOMBARDIA;7;REGIONI - ex SIMN;1682;45.616667;10.319444;364
Cremona;03;LOMBARDIA;7;REGIONI - ex SIMN;1711;45.133333;10.019444;45
Bormio;03;LOMBARDIA;7;REGIONI - ex SIMN;1731;46.466667;10.369444;1225
Grosio;03;LOMBARDIA;7;REGIONI - ex SIMN;1737;46.3;10.286111;652
Tirano;03;LOMBARDIA;7;REGIONI - ex SIMN;1738;46.216667;10.152778;430
Aprica;03;LOMBARDIA;7;REGIONI - ex SIMN;1742;46.15;10.136111;1181
Sondrio;03;LOMBARDIA;7;REGIONI - ex SIMN;1752;46.166667;9.836111;298
Samolaco;03;LOMBARDIA;7;REGIONI - ex SIMN;1775;46.242222;9.398611;260
Como;03;LOMBARDIA;7;REGIONI - ex SIMN;1789;45.8;9.069444;200
Lodi;03;LOMBARDIA;7;REGIONI - ex SIMN;1827;45.316667;9.502778;80
Valcanale;03;LOMBARDIA;7;REGIONI - ex SIMN;1836;45.95;9.852778;986
Clusone;03;LOMBARDIA;7;REGIONI - ex SIMN;1837;45.9;9.952778;648
Crema;03;LOMBARDIA;7;REGIONI - ex SIMN;1845;45.366667;9.686111;79
Codogno;03;LOMBARDIA;7;REGIONI - ex SIMN;1851;45.166667;9.702778;58
Carate Brianza;03;LOMBARDIA;7;REGIONI - ex SIMN;1858;45.683333;9.236111;255
Varese;03;LOMBARDIA;7;REGIONI - ex SIMN;1865;45.816667;8.819444;382
Ispra;03;LOMBARDIA;7;REGIONI - ex SIMN;1944;45.816667;8.602778;220
Somma Lombardo;03;LOMBARDIA;7;REGIONI - ex SIMN;1951;45.683333;8.702778;286
Vigevano;03;LOMBARDIA;7;REGIONI - ex SIMN;1953;45.316667;8.852778;116
Pavia;03;LOMBARDIA;7;REGIONI - ex SIMN;1957;45.183333;9.136111;77
Lomello;03;LOMBARDIA;7;REGIONI - ex SIMN;1964;45.116667;8.802778;96
Varzi;03;LOMBARDIA;7;REGIONI - ex SIMN;2368;44.833333;9.202778;409
Voghera;03;LOMBARDIA;7;REGIONI - ex SIMN;2371;44.983333;9.002778;93
Le Prese-Sondalo;03;LOMBARDIA;25;Regionale ARPA Lombardia;5954;46.350278;10.354722;950
Funivia Bernina - Chiesa Valma;03;LOMBARDIA;25;Regionale ARPA Lombardia;5955;46.291389;9.864167;2014
Tirano;03;LOMBARDIA;25;Regionale ARPA Lombardia;5957;46.217222;10.153056;438
Grosio;03;LOMBARDIA;25;Regionale ARPA Lombardia;5958;46.326944;10.246111;1220
S.Colombano al Lambro;03;LOMBARDIA;25;Regionale ARPA Lombardia;5961;45.186944;9.486389;80
Varzi;03;LOMBARDIA;25;Regionale ARPA Lombardia;5962;44.823889;9.195;500
Sondrio;03;LOMBARDIA;25;Regionale ARPA Lombardia;5963;46.165556;9.848611;307
Samolaco;03;LOMBARDIA;25;Regionale ARPA Lombardia;5964;46.251111;9.393056;206
S.Angelo Lodigiano;03;LOMBARDIA;25;Regionale ARPA Lombardia;5965;45.260556;9.379722;60
Palidano di Gonzaga;03;LOMBARDIA;25;Regionale ARPA Lombardia;5966;44.983611;10.781111;22
Moggio;03;LOMBARDIA;25;Regionale ARPA Lombardia;5967;45.921667;9.504444;1234
Ispra;03;LOMBARDIA;25;Regionale ARPA Lombardia;5968;45.814167;8.614722;193
Edolo;03;LOMBARDIA;25;Regionale ARPA Lombardia;5969;46.175833;10.333333;699
Cornalita;03;LOMBARDIA;25;Regionale ARPA Lombardia;5970;45.882222;9.646944;700
Casatenovo;03;LOMBARDIA;25;Regionale ARPA Lombardia;5973;45.701944;9.309167;360
Capralba;03;LOMBARDIA;25;Regionale ARPA Lombardia;5974;45.444722;9.645556;96
Capo di ponte;03;LOMBARDIA;25;Regionale ARPA Lombardia;5975;46.026667;10.3425;362
Brescia;03;LOMBARDIA;25;Regionale ARPA Lombardia;5976;45.526111;10.261389;149
Bargnano;03;LOMBARDIA;25;Regionale ARPA Lombardia;5977;45.3825;10.036667;93
Rivolta d` Adda;03;LOMBARDIA;25;Regionale ARPA Lombardia;5978;45.444167;9.520833;102
Mantova Cerese;03;LOMBARDIA;25;Regionale ARPA Lombardia;5979;45.148333;10.780556;19
Livigno - Passo Foscagno;03;LOMBARDIA;25;Regionale ARPA Lombardia;5980;46.494444;10.2075;2250
Milano - Parco Nord;03;LOMBARDIA;25;Regionale ARPA Lombardia;5981;45.543333;9.207222;142
Carate Brianza;03;LOMBARDIA;25;Regionale ARPA Lombardia;5983;45.671944;9.233889;256
Trezzo d`Adda;03;LOMBARDIA;25;Regionale ARPA Lombardia;5984;45.618056;9.506389;187
Corsico;03;LOMBARDIA;25;Regionale ARPA Lombardia;5985;45.433056;9.105;116
Agrate;03;LOMBARDIA;25;Regionale ARPA Lombardia;5986;45.576111;9.353333;162
Somma Lombardo;03;LOMBARDIA;25;Regionale ARPA Lombardia;5987;45.649444;8.712778;238
Erba;03;LOMBARDIA;25;Regionale ARPA Lombardia;5988;45.811389;9.224167;323
Bormio;03;LOMBARDIA;25;Regionale ARPA Lombardia;5989;46.471111;10.372222;1225
Morbegno;03;LOMBARDIA;25;Regionale ARPA Lombardia;5990;46.134722;9.569167;262
Colico;03;LOMBARDIA;25;Regionale ARPA Lombardia;5991;46.138056;9.384722;288
Como;03;LOMBARDIA;25;Regionale ARPA Lombardia;5995;45.815;9.066944;201
Cremona;03;LOMBARDIA;25;Regionale ARPA Lombardia;5998;45.1425;10.043611;43
Sermide;03;LOMBARDIA;25;Regionale ARPA Lombardia;5999;45.00722;11.290278;10
Pavia;03;LOMBARDIA;25;Regionale ARPA Lombardia;6000;45.185556;9.151389;71
Dezzo di Scalve - Azzone;03;LOMBARDIA;25;Regionale ARPA Lombardia;6001;45.975;10.104167;599
Clusone;03;LOMBARDIA;25;Regionale ARPA Lombardia;6002;45.886389;9.946667;309
Gerola - Pescegallo;03;LOMBARDIA;25;Regionale ARPA Lombardia;6004;46.025;9.578889;1845
Aprica;03;LOMBARDIA;25;Regionale ARPA Lombardia;6005;46.148611;10.159444;1950
Pantano d`Avio;03;LOMBARDIA;25;Regionale ARPA Lombardia;6006;46.175;10.470833;2105
Cavacca;03;LOMBARDIA;25;Regionale ARPA Lombardia;6007;45.724167;10.499167;1147
Ponte S.Marco;03;LOMBARDIA;25;Regionale ARPA Lombardia;6008;45.470556;10.402778;145
Luino;03;LOMBARDIA;25;Regionale ARPA Lombardia;6009;45.998056;8.744444;205
Lodi;03;LOMBARDIA;25;Regionale ARPA Lombardia;6010;45.315278;9.511944;64
Cantu - Asnago;03;LOMBARDIA;25;Regionale ARPA Lombardia;6011;45.709444;9.106389;250
Ponte Briolo - Valbrembo;03;LOMBARDIA;25;Regionale ARPA Lombardia;6012;45.7075;9.5925;260
Monzambano;03;LOMBARDIA;25;Regionale ARPA Lombardia;6013;45.390278;10.711111;62
Sarnico;03;LOMBARDIA;25;Regionale ARPA Lombardia;6014;45.661944;9.959167;197
Valle Dorizzo;03;LOMBARDIA;25;Regionale ARPA Lombardia;6015;45.877778;10.446944;1226
Caino;03;LOMBARDIA;25;Regionale ARPA Lombardia;6016;45.609722;10.322222;428
Bovegno;03;LOMBARDIA;25;Regionale ARPA Lombardia;6017;45.787778;10.271111;572
Darfo;03;LOMBARDIA;25;Regionale ARPA Lombardia;6018;45.869444;10.158056;205
Cuveglio;03;LOMBARDIA;25;Regionale ARPA Lombardia;6019;45.903333;8.742778;294
Vigevano;03;LOMBARDIA;25;Regionale ARPA Lombardia;6020;45.338889;8.880556;94
Lomello;03;LOMBARDIA;25;Regionale ARPA Lombardia;6021;45.121667;8.798056;95
Soncino;03;LOMBARDIA;25;Regionale ARPA Lombardia;6022;45.399167;9.890278;87
S.Colombano di Collio;03;LOMBARDIA;25;Regionale ARPA Lombardia;6023;45.811111;10.375278;960
Codogno;03;LOMBARDIA;25;Regionale ARPA Lombardia;6024;45.161944;9.720833;68
Castiglione delle Stiviere;03;LOMBARDIA;25;Regionale ARPA Lombardia;6025;45.374167;10.511944;109
Chiari;03;LOMBARDIA;25;Regionale ARPA Lombardia;6026;45.522222;9.937778;140
Crema;03;LOMBARDIA;25;Regionale ARPA Lombardia;6027;45.356667;9.671389;103
Barni;03;LOMBARDIA;25;Regionale ARPA Lombardia;6028;45.905278;9.266111;625
Misinto;03;LOMBARDIA;25;Regionale ARPA Lombardia;6029;45.661389;9.066389;247
Asola;03;LOMBARDIA;25;Regionale ARPA Lombardia;6030;45.216944;10.415833;41
Varese;03;LOMBARDIA;25;Regionale ARPA Lombardia;6031;45.8325;8.823611;416
Voghera;03;LOMBARDIA;25;Regionale ARPA Lombardia;6032;44.990278000000004;9.0175;95
Bienno;03;LOMBARDIA;25;Regionale ARPA Lombardia;6033;45.945556;10.286944;501
Manerbio;03;LOMBARDIA;25;Regionale ARPA Lombardia;6034;45.359444;10.145556;60
Laveno;03;LOMBARDIA;25;Regionale ARPA Lombardia;6036;45.906111;8.622222;207
Valcanale;03;LOMBARDIA;25;Regionale ARPA Lombardia;6037;45.950556;9.863333;1002
Cavargna;03;LOMBARDIA;25;Regionale ARPA Lombardia;6038;46.091667;9.110833;1100
Grabiasca;03;LOMBARDIA;25;Regionale ARPA Lombardia;6039;46.0075;9.947778;738
Aprica;03;LOMBARDIA;15;Idrografica;7771;46.153593;10.147122;1264
Bienno;03;LOMBARDIA;15;Idrografica;7783;45.939887;10.289421;444
Bormio;03;LOMBARDIA;15;Idrografica;7788;46.475489;10.369039;1469
Chiari;03;LOMBARDIA;15;Idrografica;7823;45.512265;9.92257;130
Clusone;03;LOMBARDIA;15;Idrografica;7826;45.885473;9.94947;622
Codogno;03;LOMBARDIA;15;Idrografica;7829;45.161864;9.720896;58
Como;03;LOMBARDIA;15;Idrografica;7830;45.813125;9.077552;234
Cremona;03;LOMBARDIA;15;Idrografica;7836;45.134614;10.028913;45
Edolo;03;LOMBARDIA;15;Idrografica;7843;46.169226;10.340445;663
Ispra;03;LOMBARDIA;15;Idrografica;7873;45.801558;8.627354;233
Lodi;03;LOMBARDIA;15;Idrografica;7899;45.318635;9.508271;69
Luino;03;LOMBARDIA;15;Idrografica;7906;46.004142;8.742726;249
Monzambano;03;LOMBARDIA;15;Idrografica;7929;45.392643;10.706297;68
Pavia;03;LOMBARDIA;15;Idrografica;7943;45.193008;9.158623;81
Samolaco;03;LOMBARDIA;15;Idrografica;7995;46.242222;9.398605;206
Sondrio;03;LOMBARDIA;15;Idrografica;8004;46.173124;9.887071;324
Valcanale;03;LOMBARDIA;15;Idrografica;8016;45.950722;9.863776;1209
Varese;03;LOMBARDIA;15;Idrografica;8024;45.834412;8.82032;417
Varzi;03;LOMBARDIA;15;Idrografica;8025;44.824454;9.198895;419
Varzi;03;LOMBARDIA;15;Idrografica;9602;44.8208;9.1932;419
Oga S. Colombano;03;LOMBARDIA;25;Regionale ARPA Lombardia;12582;46.461115;10.343337;2295
Edolo;03;LOMBARDIA;25;Regionale ARPA Lombardia;12583;46.180427;10.329893;659
Varzi;03;LOMBARDIA;52;RETE EMILIA ROMAGNA TEMP;13314;44.82128;9.201195;439
Voghera;03;LOMBARDIA;52;RETE EMILIA ROMAGNA TEMP;13337;44.991679;8.996037;92
